Frequency - Plot 0	Amplitude - Plot 0		
74	3.62823	
74.25	3.54053	
74.5	3.10818	
74.75	3.03433	
75	4.06766	
75.25	2.51157	
75.5	2.88461	
75.75	3.71426	
76	3.12555	
76.25	3.42969	
76.5	2.8649	
76.75	2.82428	
77	2.52869	
77.25	2.59634	
77.5	3.2962	
77.75	3.93939	
78	2.28922	
78.25	2.90485	
78.5	4.56116	
78.75	3.70212	
79	2.01187	
79.25	4.51166	
79.5	3.67838	
79.75	3.32272	
80	3.4202	
80.25	2.62518	
80.5	4.55441	
80.75	3.32159	
81	4.56165	
81.25	4.19839	
81.5	3.72495	
81.75	3.87592	
82	3.7352	
82.25	4.16055	
82.5	4.49277	
82.75	4.04602	
83	4.52002	
83.25	4.121	
83.5	4.10474	
83.75	4.00394	
84	4.23398	
84.25	4.58383	
84.5	4.80396	
84.75	5.35602	
85	3.96323	
85.25	3.69412	
85.5	5.85474	
85.75	3.94028	
86	5.00497	
86.25	4.09357	
86.5	4.82184	
86.75	4.83237	
87	5.12543	
87.25	5.04156	
87.5	4.65308	
87.75	3.88434	
88	5.05142	
88.25	4.39539	
88.5	5.008	
88.75	3.8815	
89	4.10391	
89.25	4.04892	
89.5	3.85321	
89.75	4.74518	
90	4.01559	
90.25	4.58325	
90.5	4.57761	
90.75	4.24762	
91	4.28543	
91.25	3.92004	
91.5	4.25339	
91.75	4.3129	
92	5.04282	
92.25	3.79431	
92.5	4.19604	
92.75	3.34744	
93	5.22675	
93.25	2.88281	
93.5	3.38321	
93.75	4.40189	
94	3.31171	
94.25	5.16916	
94.5	4.06891	
94.75	3.11359	
95	3.32434	
95.25	4.74768	
95.5	2.72485	
95.75	4.33026	
96	3.6084	
96.25	4.35471	
96.5	3.2327	
96.75	3.18433	
97	3.64331	
97.25	4.12149	
97.5	3.49301	
97.75	3.72	
98	3.349	
98.25	3.10672	
98.5	3.38715	
98.75	2.97897	
99	3.85059	
99.25	3.50146	
99.5	3.40787	
99.75	3.21729	
100	3.47375	
100.25	3.15237	
100.5	3.35565	
100.75	3.43616	
101	0.284485	
