Frequency - Plot 0	Amplitude - Plot 0	
1	21.9932	
1.25	21.9932	
1.5	9.1319	
1.75	9.1319	
2	9.1319	
2.25	9.31555	
2.5	9.31555	
2.75	9.31555	
3	9.42154	
3.25	9.48447	
3.5	9.48447	
3.75	9.48447	
4	9.4606	
4.25	9.4606	
4.5	9.43729	
4.75	9.44885	
5	9.44885	
5.25	9.47717	
5.5	9.47589	
5.75	9.52005	
6	9.50415	
6.25	9.50415	
6.5	9.50415	
6.75	9.51025	
7	9.60611	
7.25	9.69141	
7.5	9.69141	
7.75	9.66959	
8	9.51193	
8.25	9.49005	
8.5	8.78973	
8.75	8.55316	
9	8.55316	
9.25	8.60376	
9.5	8.50848	
9.75	8.50848	
10	8.50848	
10.25	8.69125	
10.5	8.69125	
10.75	8.51541	
11	8.70276	
11.25	9.28799	
11.5	9.28799	
11.75	9.67404	
12	9.67404	
12.25	10.0631	
12.5	10.2228	
12.75	10.2532	
13	10.4528	
13.25	10.5242	
13.5	10.4062	
13.75	10.568	
14	10.5263	
14.25	10.5124	
14.5	10.4612	
14.75	10.3053	
15	10.3053	
15.25	10.7863	
15.5	11.3578	
15.75	11.4963	
16	11.4963	
16.25	11.3056	
16.5	11.3617	
16.75	10.821	
17	10.5282	
17.25	10.0832	
17.5	9.56793	
17.75	9.39737	
18	9.13568	
18.25	9.13568	
18.5	8.74689	
18.75	7.86539	
19	7.12732	
19.25	7.38803	
19.5	7.32962	
19.75	7.3934	
20	7.3934	
20.25	6.81921	
20.5	6.86868	
20.75	8.12595	
21	8.31775	
21.25	9.17786	
21.5	8.95599	
21.75	9.67346	
22	9.22235	
22.25	8.42392	
22.5	8.25842	
22.75	8.75229	
23	9.10901	
23.25	9.10901	
23.5	8.42957	
23.75	8.01755	
24	7.73154	
24.25	7.4581	
24.5	7.17453	
24.75	7.17453	
25	6.92383	
25.25	6.75336	
25.5	6.2189	
25.75	5.98441	
26	5.98441	
26.25	3.77823	
26.5	3.45648	
26.75	3.25656	
27	2.83734	
27.25	2.38562	
27.5	2.09924	
27.75	2.1304	
28	1.54782	
28.25	2.8129	
28.5	2.63953	
28.75	3.61981	
29	3.61981	
29.25	3.31662	
29.5	3.64081	
29.75	3.64081	
30	3.98676	
30.25	4.92352	
30.5	5.86459	
30.75	5.98929	
31	5.81107	
31.25	6.5639	
31.5	6.5639	
31.75	6.5639	
32	6.04047	
32.25	5.88547	
32.5	5.63815	
32.75	5.79199	
33	5.52026	
33.25	5.52026	
33.5	4.90189	
33.75	4.90189	
34	5.51685	
34.25	5.77267	
34.5	5.35571	
34.75	5.56531	
35	5.72812	
35.25	4.86771	
35.5	4.86771	
35.75	5.02634	
36	5.09338	
36.25	4.73395	
36.5	5.19177	
36.75	4.71313	
37	4.71313	
37.25	3.22528	
37.5	3.89911	
37.75	3.47546	
38	3.7749	
38.25	3.52847	
38.5	3.23831	
38.75	2.52405	
39	3.02655	
39.25	2.54648	
39.5	2.63693	
39.75	1.88339	
40	2.24554	
40.25	2.38681	
40.5	1.37137	
40.75	1.37137	
41	1.62823	
41.25	2.29858	
41.5	2.81689	
41.75	1.01096	
42	1.90448	
42.25	1.90448	
42.5	2.61725	
42.75	1.66473	
43	1.12747	
43.25	1.83386	
43.5	0.842468	
43.75	4.61169	
44	3.33163	
44.25	3.27646	
44.5	1.70795	
44.75	2.51059	
45	4.38708	
45.25	3.80557	
45.5	4.07748	
45.75	3.43607	
46	2.4259	
46.25	4.01172	
46.5	1.92105	
46.75	3.20624	
47	1.83017	
47.25	1.74362	
47.5	1.99933	
47.75	1.72003	
48	1.07608	
48.25	2.61755	
48.5	1.31659	
48.75	3.36826	
49	2.22943	
49.25	1.99484	
49.5	1.78159	
49.75	1.39874	
50	1.39874	
50.25	2.93549	
50.5	4.32916	
50.75	1.92578	
51	3.09445	
51.25	3.38953	
51.5	2.04468	
51.75	2.6362	
52	1.2193	
52.25	3.50388	
52.5	4.79568	
52.75	5.82101	
53	1.81625	
