Frequency - Plot 0	Amplitude - Plot 0	
1	-169.124	
1.25	-5.59204	
1.5	-5.59204	
1.75	-5.59204	
2	-6.63574	
2.25	-6.63574	
2.5	-7.51465	
2.75	-7.51465	
3	-8.16284	
3.25	-8.16284	
3.5	-8.81104	
3.75	-8.81104	
4	-9.75586	
4.25	-11.0303	
4.5	-11.1292	
4.75	-11.1292	
5	-11.9531	
5.25	-13.5901	
5.5	-13.5901	
5.75	-14.7327	
6	-15.3589	
6.25	-15.3589	
6.5	-15.8972	
6.75	-22.522	
7	-15.6335	
7.25	-15.6335	
7.5	-21.2366	
7.75	-21.2366	
8	-21.2366	
8.25	-21.2366	
8.5	-19.1492	
8.75	-17.2485	
9	-20.6213	
9.25	-20.6213	
9.5	-20.6213	
9.75	-23.5657	
10	-23.5657	
10.25	-25.4333	
10.5	-25.4333	
10.75	-26.499	
11	-27.0154	
11.25	-27.1802	
11.5	-25.9717	
11.75	-24.3787	
12	-24.3896	
12.25	-24.3896	
12.5	-24.3896	
12.75	-24.4666	
13	-25.1917	
13.25	-25.5652	
13.5	-26.5649	
13.75	-26.5649	
14	-26.1145	
14.25	-26.8066	
14.5	-28.2129	
14.75	-30.3442	
15	-30.3442	
15.25	-44.1321	
15.5	-50.8557	
15.75	-51.8884	
16	-53.2617	
16.25	-58.0078	
16.5	-58.7	
16.75	-58.7	
17	-60.238	
17.25	-60.238	
17.5	-60.238	
17.75	-65.1489	
18	-67.2363	
18.25	-68.6646	
18.5	-67.6428	
18.75	-66.9507	
19	-68.1921	
19.25	-68.1921	
19.5	-68.9502	
19.75	-68.9502	
20	-74.4983	
20.25	-76.1682	
20.5	-77.8052	
20.75	-77.8052	
21	-76.9812	
21.25	-76.8494	
21.5	-76.8494	
21.75	-75.52	
22	-78.2886	
22.25	-80.9802	
22.5	-81.958	
22.75	-79.9805	
23	-79.9805	
23.25	-79.9805	
23.5	-87.3413	
23.75	-91.9226	
24	-92.8674	
24.25	-92.4939	
24.5	-94.5813	
24.75	-97.9651	
25	-97.9651	
25.25	-119.718	
25.5	-122.86	
25.75	-133.044	
26	-132.671	
26.25	-132.671	
26.5	-121.63	
26.75	-131.298	
27	-131.298	
27.25	-131.298	
27.5	-118.597	
27.75	-111.215	
28	-113.346	
28.25	-107.688	
28.5	-103.821	
28.75	-106.611	
29	-89.5715	
29.25	-81.2878	
29.5	-78.5083	
29.75	-83.2983	
30	-78.2336	
30.25	-78.2336	
30.5	-69.4556	
30.75	-70.2246	
31	-78.5522	
31.25	-81.925	
31.5	-84.1003	
31.75	-95.6689	
32	-94.9109	
32.25	-107.622	
32.5	-98.053	
32.75	-89.4617	
33	-91.4172	
33.25	-101.514	
33.5	-109.984	
33.75	-97.262	
34	-91.9006	
