Frequency - Plot 0	Amplitude - Plot 0	
1	-20.4346	
1.25	-20.4346	
1.5	-9.39331	
1.75	-9.39331	
2	-7.229	
2.25	-7.229	
2.5	-8.21777	
2.75	-8.21777	
3	-8.62427	
3.25	-8.83301	
3.5	-8.83301	
3.75	-8.83301	
4	-9.56909	
4.25	-10.2063	
4.5	-10.2063	
4.75	-10.2063	
5	-11.0852	
5.25	-11.6455	
5.5	-11.6455	
5.75	-11.6455	
6	-12.7332	
6.25	-12.7332	
6.5	-12.7332	
6.75	-13.4802	
7	-14.3811	
7.25	-14.3811	
7.5	-13.3704	
7.75	-13.5022	
8	-13.5022	
8.25	-14.3372	
8.5	-14.3372	
8.75	-14.8975	
9	-15.8533	
9.25	-17.1167	
9.5	-16.6113	
9.75	-16.1609	
10	-17.1057	
10.25	-16.5564	
10.5	-16.5564	
10.75	-17.2375	
11	-18.0286	
11.25	-19.4348	
11.5	-19.4348	
11.75	-20.3027	
12	-20.3027	
12.25	-19.7424	
12.5	-20.1929	
12.75	-20.1929	
13	-21.4124	
13.25	-21.4124	
13.5	-21.4124	
13.75	-21.4124	
14	-21.5991	
14.25	-21.5991	
14.5	-25.0598	
14.75	-28.0371	
15	-28.0371	
15.25	-28.0371	
15.5	-30.1245	
15.75	-31.6406	
16	-36.8811	
16.25	-41.0999	
16.5	-40.1331	
16.75	-40.2319	
17	-40.3088	
17.25	-42.1985	
17.5	-44.2529	
17.75	-44.2529	
18	-49.1309	
18.25	-49.834	
18.5	-50.1196	
18.75	-52.9211	
19	-53.4265	
19.25	-58.6011	
19.5	-59.9744	
19.75	-66.1487	
20	-69.3677	
20.25	-69.3677	
20.5	-72.5757	
20.75	-73.4546	
21	-74.3005	
21.25	-73.2568	
21.5	-71.1694	
21.75	-71.1694	
22	-66.709	
22.25	-74.6082	
22.5	-72.8394	
22.75	-72.8394	
23	-68.6975	
23.25	-70.1367	
23.5	-70.1367	
23.75	-68.8953	
24	-68.2581	
24.25	-74.0808	
24.5	-77.8052	
24.75	-73.6414	
25	-74.6082	
25.25	-75.4431	
25.5	-74.9597	
25.75	-75.7507	
26	-75.7507	
26.25	-57.1729	
26.5	-61.875	
26.75	-56.3818	
27	-51.0205	
27.25	-26.2903	
27.5	-21.0937	
27.75	-19.5117	
28	-19.5117	
28.25	-18.8416	
28.5	-16.6882	
28.75	-14.7876	
29	-18.9844	
29.25	-18.9844	
29.5	-10.3162	
29.75	-10.3162	
30	-17.6221	
30.25	-17.3145	
30.5	-16.084	
30.75	-13.8867	
31	-13.8867	
31.25	-16.062	
31.5	-16.062	
31.75	-21.3904	
32	-20.3027	
32.25	-20.3027	
32.5	-24.0491	
32.75	-29.5972	
33	-26.2463	
33.25	-27.9822	
33.5	-27.9822	
33.75	-23.0164	
34	-27.9163	
34.25	-31.6626	
34.5	-30.4761	
34.75	-35.9033	
35	-37.5293	
35.25	-37.1448	
35.5	-40.7483	
35.75	-48.6694	
36	-40.2979	
36.25	-40.2979	
36.5	-56.7334	
36.75	-57.5793	
37	-63.0835	
37.25	-60.5457	
37.5	-51.9983	
37.75	-59.5569	
38	-62.8748	
38.25	-68.324	
38.5	-71.7737	
38.75	-69.9609	
39	-83.3972	
39.25	-83.3972	
39.5	-86.9678	
39.75	-88.9893	
40	-88.5059	
40.25	-88.5059	
40.5	-88.8025	
40.75	-99.1846	
41	-102.217	
41.25	-102.217	
41.5	-99.668	
41.75	-106.348	
42	-87.572	
42.25	-88.0774	
42.5	-92.5378	
42.75	-97.5366	
43	-78.8159	
43.25	-83.7708	
43.5	-96.0645	
43.75	-76.2231	
44	-76.2231	
44.25	-69.6973	
44.5	-77.2229	
44.75	-83.9685	
45	-77.7393	
45.25	-84.375	
45.5	-65.5444	
45.75	-96.405	
46	-55.9094	
46.25	-55.5359	
46.5	-54.5142	
46.75	-90.7031	
47	-62.2046	
47.25	-53.7122	
47.5	-66.4893	
47.75	-50.2075	
48	-41.0449	
48.25	-55.2283	
48.5	-26.9165	
48.75	-50.0427	
49	-29.8059	
49.25	-53.8879	
49.5	-48.3948	
49.75	-48.3948	
50	-48.0432	
50.25	-43.396	
50.5	-111.973	
50.75	-1.27441	
51	-57.843	
51.25	0.406494	
51.5	-71.8945	
51.75	-14.8865	
52	-46.5491	
52.25	-29.3005	
52.5	-83.9685	
52.75	-38.4192	
53	-31.8274	
53.25	-45.5054	
53.5	13.2715	
53.75	-123.069	
54	-123.069	
54.25	-123.069	
54.5	-166.443	
54.75	-53.5803	
55	-53.5803	
55.25	3.92212	
55.5	-58.2385	
55.75	-60.2051	
56	-69.2139	
56.25	-91.8896	
56.5	-47.0764	
56.75	-8.38257	
57	-54.9426	
57.25	-28.7512	
57.5	-104.062	
57.75	-70.7849	
58	-69.2358	
58.25	-38.8806	
58.5	-38.8806	
58.75	-42.7917	
59	-45.9009	
59.25	-63.8855	
59.5	-64.1272	
59.75	-50.0977	
60	-49.9658	
60.25	-45.4065	
60.5	-46.1865	
60.75	-40.3638	
61	-103.085	
61.25	-148.359	
61.5	-1.4502	
61.75	49.0759	
62	-149.974	
62.25	-41.3196	
62.5	27.5098	
62.75	-9.11865	
63	-31.0913	
63.25	-109.742	
63.5	-168.937	
63.75	-75.6848	
64	-99.9976	
64.25	-86.9788	
64.5	3.44971	
64.75	-41.3086	
65	-127.518	
65.25	-10.4041	
65.5	-77.6514	
65.75	-55.2063	
66	-48.3398	
66.25	-144.338	
66.5	-15.4907	
66.75	-45.3406	
67	37.6501	
67.25	-39.8804	
67.5	-43.6487	
67.75	-46.1206	
68	-46.1206	
68.25	-45.9009	
68.5	-63.5889	
68.75	-48.7354	
69	-50.1196	
69.25	-22.4231	
69.5	-50.2954	
69.75	-54.657	
70	-47.45	
70.25	-27.6965	
70.5	-34.4641	
70.75	-43.5608	
71	-40.5945	
71.25	-45.9119	
71.5	-34.4531	
71.75	-49.3726	
72	-57.1069	
72.25	-37.1448	
72.5	-18.8086	
72.75	-42.616	
73	-42.9675	
73.25	-42.6929	
73.5	-50.0757	
73.75	-40.0671	
74	-54.3823	
74.25	-45.2087	
74.5	-45.2087	
74.75	-38.7817	
75	-30.1135	
75.25	-29.5532	
75.5	-37.2656	
75.75	-46.4172	
76	-46.2634	
76.25	-45.78	
76.5	-43.5608	
76.75	-34.9036	
77	-38.2764	
77.25	-38.2764	
77.5	-47.2522	
77.75	-49.0979	
78	-44.7034	
78.25	-55.7117	
78.5	-35.365	
78.75	-24.082	
79	-47.5159	
79.25	-33.5083	
79.5	-46.8347	
79.75	-39.7595	
80	-22.8735	
80.25	-36.156	
80.5	-57.2827	
80.75	-33.8489	
81	-39.6057	
81.25	-45.1648	
81.5	-41.001	
81.75	-27.4768	
82	-48.9661	
82.25	-47.384	
82.5	-47.384	
82.75	-37.5183	
83	-38.4741	
83.25	-40.9131	
83.5	-39.5068	
83.75	-38.4412	
84	-41.8359	
84.25	-28.3228	
84.5	-51.1633	
84.75	-51.1633	
85	-37.1228	
85.25	-48.0212	
85.5	-50.3943	
85.75	-39.9573	
86	-46.3733	
86.25	-57.6562	
86.5	-52.9761	
86.75	-52.9761	
87	-37.6062	
87.25	-43.3301	
87.5	-49.8669	
87.75	-53.6572	
88	-54.4482	
88.25	-53.3936	
88.5	-52.7893	
88.75	-57.843	
89	-50.8777	
89.25	-48.7463	
89.5	-53.2947	
89.75	-42.7808	
90	-49.0869	
90.25	-45.1648	
90.5	-43.3301	
90.75	-47.2632	
91	-48.0762	
91.25	-57.9529	
91.5	-51.3171	
91.75	-57.7771	
92	-54.7998	
92.25	-39.6277	
92.5	-59.0405	
92.75	-44.7363	
93	-48.7354	
93.25	-60.3918	
93.5	-52.5696	
93.75	-43.1104	
94	-45.2417	
94.25	-56.0962	
94.5	-40.4517	
94.75	-43.9233	
95	-47.8125	
95.25	-43.3081	
95.5	-49.2957	
95.75	-39.0015	
96	-58.7659	
96.25	-48.7683	
96.5	-41.6162	
96.75	-40.4846	
97	-53.2178	
97.25	-54.4812	
97.5	-50.3284	
97.75	-57.2058	
98	-51.405	
98.25	-47.1643	
98.5	-53.4924	
98.75	-48.5815	
99	-50.2515	
99.25	-49.6252	
99.5	-58.8757	
99.75	-56.1072	
100	-64.2151	
100.25	-61.7322	
100.5	-62.1826	
100.75	-61.3037	
101	-168.267	
