Frequency - Plot 0	Amplitude - Plot 0	
1	0.28125	
1.25	0.28125	
1.5	9.30334	
1.75	9.30334	
2	9.88596	
2.25	9.88596	
2.5	10.027	
2.75	10.027	
3	10.2045	
3.25	10.2079	
3.5	10.2079	
3.75	10.2079	
4	10.2516	
4.25	10.2021	
4.5	10.2021	
4.75	10.2021	
5	10.1262	
5.25	10.1433	
5.5	10.1433	
5.75	10.1433	
6	10.1351	
6.25	10.1351	
6.5	10.1351	
6.75	10.1177	
7	9.89697	
7.25	9.89697	
7.5	9.80142	
7.75	9.78323	
8	9.78323	
8.25	9.69412	
8.5	9.69412	
8.75	9.85434	
9	9.81183	
9.25	9.80267	
9.5	9.7233	
9.75	9.63217	
10	9.46045	
10.25	9.44177	
10.5	9.44177	
10.75	9.41727	
11	9.43195	
11.25	8.97232	
11.5	8.97232	
11.75	9.20837	
12	9.20837	
12.25	10.0893	
12.5	10.4432	
12.75	10.4432	
13	10.0666	
13.25	10.0666	
13.5	10.0666	
13.75	10.0666	
14	10.515	
14.25	10.515	
14.5	11.0743	
14.75	11.4481	
15	11.4481	
15.25	11.4481	
15.5	10.9156	
15.75	10.7743	
16	11.0222	
16.25	11.0097	
16.5	11.1074	
16.75	11.1241	
17	11.2277	
17.25	10.9083	
17.5	10.5192	
17.75	10.5192	
18	10.3171	
18.25	10.4991	
18.5	10.8514	
18.75	10.7572	
19	10.7162	
19.25	10.5482	
19.5	10.0098	
19.75	9.754	
20	9.65988	
20.25	9.65988	
20.5	9.39581	
20.75	8.86008	
21	8.47079	
21.25	8.38962	
21.5	8.09561	
21.75	8.09561	
22	7.71057	
22.25	7.17197	
22.5	7.92914	
22.75	7.92914	
23	7.55118	
23.25	7.34454	
23.5	7.34454	
23.75	7.38782	
24	6.44843	
24.25	6.51263	
24.5	6.73782	
24.75	6.66144	
25	6.15744	
25.25	6.00681	
25.5	5.82776	
25.75	4.17923	
26	4.17923	
26.25	3.51712	
26.5	3.67633	
26.75	3.84366	
27	3.45789	
27.25	3.40994	
27.5	3.38132	
27.75	3.36792	
28	3.36792	
28.25	3.21695	
28.5	4.21085	
28.75	4.19815	
29	4.50964	
29.25	4.50964	
29.5	4.66681	
29.75	4.66681	
30	4.78235	
30.25	5.34927	
30.5	6.06482	
30.75	5.74686	
31	5.74686	
31.25	5.71408	
31.5	5.71408	
31.75	5.84824	
32	6.29318	
32.25	6.29318	
32.5	6.73871	
32.75	6.43619	
33	6.59872	
33.25	6.42862	
33.5	6.42862	
33.75	6.73593	
34	6.37216	
34.25	6.83023	
34.5	7.47583	
34.75	6.67105	
35	7.41852	
35.25	6.97968	
35.5	6.91953	
35.75	7.24002	
36	6.55209	
36.25	6.55209	
36.5	6.39227	
36.75	6.81543	
37	6.38397	
37.25	7.01514	
37.5	6.43802	
37.75	7.13458	
38	6.11719	
38.25	6.42551	
38.5	6.31454	
38.75	6.42203	
39	6.15387	
39.25	6.15387	
39.5	5.45529	
39.75	5.39478	
40	5.26184	
40.25	5.26184	
40.5	4.99863	
40.75	5.67511	
41	4.80463	
41.25	4.80463	
41.5	4.34613	
41.75	3.1937	
42	2.42441	
42.25	3.46002	
42.5	2.13498	
42.75	2.24991	
43	2.37634	
43.25	2.68088	
43.5	1.93213	
43.75	2.55157	
44	2.55157	
44.25	2.37198	
44.5	1.95718	
44.75	2.57474	
45	1.79562	
45.25	1.82388	
45.5	1.88846	
45.75	2.14975	
46	2.11325	
46.25	1.92606	
46.5	1.77682	
46.75	2.07471	
47	2.22699	
47.25	1.94568	
47.5	1.88687	
47.75	1.89676	
48	2.23236	
48.25	2.33182	
48.5	1.79898	
48.75	1.57709	
49	1.93607	
49.25	1.93002	
49.5	2.32538	
49.75	2.32538	
50	2.25186	
50.25	2.40509	
50.5	3.33069	
50.75	4.04947	
51	5.75919	
51.25	5.01837	
51.5	6.08377	
51.75	2.08469	
52	2.88824	
52.25	3.05237	
52.5	2.16898	
52.75	3.88211	
53	2.23193	
53.25	7.13214	
53.5	4.74792	
53.75	2.49332	
54	2.49332	
54.25	2.49332	
54.5	2.09476	
54.75	4.48349	
55	4.48349	
55.25	4.55035	
55.5	2.47095	
55.75	2.85535	
56	3.48965	
56.25	2.38507	
56.5	2.6705	
56.75	2.66086	
57	7.04306	
57.25	3.2627	
57.5	2.46753	
57.75	2.33569	
58	6.80811	
