Frequency - Plot 0	Amplitude - Plot 0	
1	-20.863	
1.25	-20.863	
1.5	-5.05371	
1.75	-5.05371	
2	-5.05371	
2.25	-5.31738	
2.5	-6.27319	
2.75	-6.41602	
3	-6.41602	
3.25	-6.95435	
3.5	-7.3938	
3.75	-7.3938	
4	-7.54761	
4.25	-7.54761	
4.5	-7.54761	
4.75	-7.54761	
5	-7.54761	
5.25	-7.54761	
5.5	-8.98682	
5.75	-9.28345	
6	-9.60205	
6.25	-11.0522	
6.5	-10.8984	
6.75	-10.6787	
7	-11.3489	
7.25	-11.6125	
7.5	-12.7332	
7.75	-12.854	
8	-13.0957	
8.25	-13.0957	
8.5	-14.0405	
8.75	-14.8315	
9	-14.8315	
9.25	-14.2932	
9.5	-14.447	
9.75	-15.5566	
10	-15.4468	
10.25	-15.8093	
10.5	-16.3257	
10.75	-17.0178	
11	-17.9736	
11.25	-17.9736	
11.5	-19.5007	
11.75	-19.3799	
12	-19.3799	
12.25	-18.1824	
12.5	-19.9512	
12.75	-19.9512	
13	-19.1711	
13.25	-20.7971	
13.5	-20.929	
13.75	-22.0276	
14	-22.3682	
14.25	-20.0061	
14.5	-21.0388	
14.75	-21.0388	
15	-18.9844	
15.25	-18.9844	
15.5	-18.9294	
15.75	-19.3359	
16	-20.3577	
16.25	-20.3577	
16.5	-22.1484	
16.75	-25.2356	
17	-24.137	
17.25	-21.9397	
17.5	-25.5981	
17.75	-27.5977	
18	-31.4099	
18.25	-30.3772	
18.5	-30.509	
18.75	-32.3767	
19	-32.0032	
19.25	-31.0803	
19.5	-34.1895	
19.75	-35.0793	
20	-35.0464	
20.25	-37.5183	
20.5	-34.2664	
20.75	-35.6946	
21	-35.3979	
21.25	-38.7817	
21.5	-42.3633	
21.75	-42.0776	
22	-42.4841	
22.25	-39.8804	
22.5	-47.1094	
22.75	-42.3303	
23	-45.2527	
23.25	-48.8123	
23.5	-52.2839	
23.75	-49.9109	
24	-51.3611	
24.25	-51.6248	
24.5	-52.6575	
24.75	-55.448	
25	-56.0852	
25.25	-55.5798	
25.5	-55.2283	
25.75	-59.1943	
26	-64.5667	
26.25	-64.248	
26.5	-61.6003	
26.75	-61.7871	
27	-65.7202	
27.25	-71.488	
27.5	-63.9844	
27.75	-63.468	
28	-63.3472	
28.25	-65.7971	
28.5	-66.6101	
28.75	-67.5	
29	-61.2708	
29.25	-61.3806	
29.5	-69.895	
29.75	-57.9309	
30	-56.9202	
30.25	-62.6331	
30.5	-65.116	
30.75	-59.1614	
31	-65.5554	
31.25	-65.6543	
31.5	-62.7209	
31.75	-62.6221	
32	-65.1489	
32.25	-69.7302	
32.5	-72.1472	
32.75	-74.4983	
33	-69.95	
33.25	-69.95	
33.5	-65.8191	
33.75	-73.9929	
34	-67.8296	
34.25	-70.2136	
34.5	-71.4111	
34.75	-73.938	
35	-66.4233	
35.25	-66.4233	
35.5	-72.6306	
35.75	-72.6306	
36	-84.0344	
36.25	-73.136	
36.5	-73.136	
36.75	-75.7068	
37	-76.1243	
37.25	-83.8696	
37.5	-98.1409	
37.75	-107.974	
38	-97.6904	
38.25	-101.799	
38.5	-113.752	
38.75	-102.228	
39	-111.489	
39.25	-100.448	
39.5	-103.37	
39.75	-105.458	
40	-113.698	
40.25	-96.8225	
40.5	-106.996	
40.75	-108.468	
41	-113.126	
41.25	-115.84	
41.5	-111.138	
41.75	-106.49	
42	-110.193	
42.25	-112.742	
42.5	-112.742	
42.75	-108.885	
43	-119.026	
43.25	-114.269	
43.5	-40.4956	
43.75	-110.468	
44	-110.468	
44.25	-112.994	
44.5	-82.9687	
44.75	-91.2305	
45	-100.217	
45.25	-110.731	
45.5	-132.693	
45.75	-105.029	
46	-97.7783	
46.25	-96.6028	
46.5	-103.107	
46.75	-111.896	
47	-145.986	
47.25	-1.26343	
47.5	-168.431	
47.75	-149.941	
48	-150.732	
48.25	58.2275	
48.5	-62.6001	
48.75	-67.8955	
49	-116.949	
49.25	-101.865	
49.5	-95.603	
49.75	-127.518	
50	-111.379	
50.25	10.3271	
50.5	-176.847	
50.75	-94.4714	
51	-124.893	
51.25	-126.068	
51.5	-139.153	
51.75	-120.135	
52	-106.523	
52.25	-122.091	
52.5	-91.6809	
52.75	-5.25146	
53	-136.67	
53.25	-83.3203	
53.5	-16.6113	
53.75	134.583	
54	-149.469	
54.25	140.845	
54.5	96.427	
54.75	-58.4143	
55	15.2051	
