Frequency - Plot 0	Amplitude - Plot 0	
1	9.54718	
1.25	10.2501	
1.5	10.334	
1.75	10.1717	
2	10.1717	
2.25	9.96503	
2.5	9.96503	
2.75	9.77667	
3	9.77667	
3.25	9.77667	
3.5	9.72458	
3.75	10.0892	
4	10.0892	
4.25	10.3535	
4.5	10.3535	
4.75	10.5188	
5	10.3357	
5.25	10.3357	
5.5	10.3845	
5.75	10.3845	
6	10.3845	
6.25	10.3845	
6.5	10.2086	
6.75	10.2086	
7	10.2086	
7.25	10.0683	
7.5	10.0302	
7.75	9.90024	
8	9.90024	
8.25	9.90024	
8.5	9.77704	
8.75	9.7337	
9	9.66382	
9.25	9.61465	
9.5	9.61465	
9.75	9.5607	
10	9.5607	
10.25	9.49609	
10.5	9.276	
10.75	9.276	
11	9.23077	
11.25	9.17566	
11.5	9.51767	
11.75	9.50702	
12	10.4872	
12.25	10.4872	
12.5	11.2788	
12.75	11.4349	
13	11.4349	
13.25	11.6828	
13.5	11.8303	
13.75	11.9979	
14	12.019	
14.25	11.9958	
14.5	12.0114	
14.75	11.7064	
15	11.601	
15.25	12.4759	
15.5	12.6652	
15.75	12.923	
16	13.1199	
16.25	13.318	
16.5	13.3435	
16.75	13.3435	
17	13.1856	
17.25	12.4713	
17.5	12.6984	
17.75	12.6984	
18	12.9718	
18.25	12.9718	
18.5	12.6133	
18.75	12.5646	
19	12.5646	
19.25	12.7376	
19.5	12.2923	
19.75	11.8663	
20	12.0497	
20.25	12.0497	
20.5	11.7961	
20.75	12.0056	
21	11.9552	
21.25	11.6156	
21.5	11.6156	
21.75	11.7725	
22	11.7725	
22.25	11.9399	
22.5	10.8445	
22.75	10.7303	
23	10.7303	
23.25	11.2277	
23.5	11.2724	
23.75	10.9213	
24	10.9213	
24.25	11.1204	
24.5	11.1204	
24.75	10.7798	
25	10.5593	
25.25	10.6218	
25.5	10.2089	
25.75	10.12	
26	8.79868	
26.25	8.48288	
26.5	6.74496	
26.75	7.43097	
27	6.79285	
27.25	6.79285	
27.5	6.69217	
27.75	6.69217	
28	5.48538	
28.25	5.35217	
28.5	4.91907	
28.75	4.60391	
29	4.60391	
29.25	4.1543	
29.5	4.17529	
29.75	4.17529	
30	3.95306	
30.25	3.58072	
30.5	3.05524	
30.75	3.48169	
31	3.47263	
31.25	3.46457	
31.5	3.4903	
31.75	3.14145	
32	3.28983	
32.25	3.25473	
32.5	3.30377	
32.75	3.93488	
33	4.24472	
33.25	4.11499	
33.5	3.25891	
33.75	4.10559	
34	4.10559	
34.25	3.5318	
34.5	3.5318	
34.75	3.99667	
35	4.49908	
35.25	2.58734	
35.5	2.86514	
35.75	2.65714	
36	2.59436	
36.25	2.59436	
36.5	2.60117	
36.75	2.97998	
37	2.75583	
37.25	3.2312	
37.5	3.2312	
37.75	2.21057	
38	3.01843	
38.25	2.71823	
38.5	2.81894	
38.75	2.20438	
39	2.20438	
39.25	2.44684	
39.5	2.44684	
39.75	2.56787	
40	2.2778	
40.25	2.26627	
40.5	2.55643	
40.75	2.55643	
41	2.55643	
41.25	1.87848	
41.5	1.54449	
41.75	1.06586	
42	1.44531	
42.25	1.41016	
42.5	1.73035	
42.75	1.06046	
43	1.30249	
43.25	1.3223	
43.5	1.30707	
43.75	1.47208	
44	1.61371	
44.25	1.61371	
44.5	0.925629	
44.75	0.423309	
45	0.520966	
45.25	0.74704	
45.5	1.06061	
45.75	1.25076	
46	0.938263	
46.25	0.826019	
46.5	0.785614	
46.75	0.512054	
47	0.471283	
47.25	0.7117	
47.5	1.31232	
47.75	1.40408	
48	0.554993	
48.25	0.552338	
48.5	0.451935	
48.75	0.199768	
49	1.45212	
49.25	1.17682	
49.5	1.17383	
49.75	1.34131	
50	1.00894	
50.25	0.612213	
50.5	0.770569	
50.75	0.275696	
51	1.37854	
51.25	1.04623	
