Frequency - Plot 0	Amplitude - Plot 0	
1	-5.21851	
1.25	-5.21851	
1.5	-9.7998	
1.75	-6.25122	
2	-6.69067	
2.25	-6.69067	
2.5	-7.9541	
2.75	-7.9541	
3	-8.64624	
3.25	-8.64624	
3.5	-8.71216	
3.75	-8.71216	
4	-9.60205	
4.25	-9.60205	
4.5	-10.7996	
4.75	-11.7114	
5	-11.7114	
5.25	-12.3157	
5.5	-12.1069	
5.75	-12.1069	
6	-12.4585	
6.25	-13.7	
6.5	-13.9856	
6.75	-13.9856	
7	-14.48	
7.25	-15.9192	
7.5	-17.0618	
7.75	-17.3474	
8	-17.5342	
8.25	-17.9407	
8.5	-17.9407	
8.75	-17.9407	
9	-19.6655	
9.25	-19.6655	
9.5	-20.116	
9.75	-21.1377	
10	-19.7974	
10.25	-18.9734	
10.5	-20.8521	
10.75	-19.6326	
11	-18.9294	
11.25	-18.7756	
11.5	-18.7756	
11.75	-18.7756	
12	-19.2261	
12.25	-19.7314	
12.5	-19.7314	
12.75	-20.9399	
13	-20.072	
13.25	-21.4343	
13.5	-22.8955	
13.75	-23.9282	
14	-25.8948	
14.25	-26.1475	
14.5	-27.5208	
14.75	-29.5203	
15	-32.7832	
15.25	-32.6953	
15.5	-37.3975	
15.75	-39.0234	
16	-41.0339	
16.25	-40.6824	
16.5	-43.7366	
16.75	-45.2527	
17	-45.2527	
17.25	-45.5164	
17.5	-48.5046	
17.75	-49.1309	
18	-49.9219	
18.25	-51.0095	
18.5	-53.9429	
18.75	-56.1072	
19	-59.1394	
19.25	-59.5239	
19.5	-63.8635	
19.75	-65.6543	
20	-72.3999	
20.25	-72.3999	
20.5	-80.5518	
20.75	-82.3645	
21	-82.3645	
21.25	-77.2888	
21.5	-77.2888	
21.75	-78.2446	
22	-64.9182	
22.25	-64.9182	
22.5	-49.3616	
22.75	-52.3828	
23	-52.4927	
23.25	-49.2187	
23.5	-48.241	
23.75	-43.4839	
24	-33.5742	
24.25	-16.3037	
24.5	-16.3037	
