Frequency - Plot 0	Amplitude - Plot 0	
1	7.18225	
1.25	8.82779	
1.5	8.82779	
1.75	8.87769	
2	8.87769	
2.25	8.94873	
2.5	8.98123	
2.75	8.85794	
3	8.85794	
3.25	8.85794	
3.5	8.92145	
3.75	8.90561	
4	8.92822	
4.25	8.92822	
4.5	8.83481	
4.75	8.86688	
5	8.86688	
5.25	8.91257	
5.5	8.91257	
5.75	8.91116	
6	8.91116	
6.25	8.79407	
6.5	8.79407	
6.75	8.94507	
7	8.94507	
7.25	9.01987	
7.5	9.13275	
7.75	9.13275	
8	9.00198	
8.25	9.08337	
8.5	9.03256	
8.75	8.44809	
9	7.93704	
9.25	8.71902	
9.5	8.78336	
9.75	8.66522	
10	8.95145	
10.25	9.07288	
10.5	9.1705	
10.75	9.1705	
11	9.1705	
11.25	9.21796	
11.5	8.96231	
11.75	8.93936	
12	9.07697	
12.25	9.20746	
12.5	9.20746	
12.75	9.43811	
13	9.25449	
13.25	9.25449	
13.5	9.25449	
13.75	9.62354	
14	9.7366	
14.25	9.69806	
14.5	9.81082	
14.75	9.12363	
15	9.28613	
15.25	9.50208	
15.5	9.60809	
15.75	9.66046	
16	9.53546	
16.25	9.44025	
16.5	9.28998	
16.75	8.60135	
17	8.918	
17.25	9.45148	
17.5	9.45148	
17.75	9.07486	
18	8.76764	
18.25	7.66302	
18.5	8.04327	
18.75	7.87708	
19	7.91559	
19.25	8.10428	
19.5	7.67227	
19.75	6.97009	
20	6.97009	
20.25	6.92279	
20.5	6.92279	
20.75	6.73624	
21	6.57159	
21.25	6.31104	
21.5	6.36996	
21.75	6.42621	
22	5.46875	
22.25	5.46875	
22.5	5.09052	
22.75	5.52426	
23	5.52426	
23.25	4.93259	
23.5	4.57303	
23.75	3.94098	
24	3.98709	
24.25	4.4772	
24.5	4.44321	
24.75	3.72809	
25	3.3584	
25.25	3.1658	
25.5	3.25629	
25.75	2.42664	
26	1.85367	
26.25	1.78177	
26.5	1.64676	
26.75	1.64676	
27	1.64676	
27.25	2.04324	
27.5	3.64157	
27.75	3.48978	
28	4.43243	
28.25	4.47849	
28.5	4.75186	
28.75	5.3074	
29	5.13412	
29.25	5.02414	
29.5	5.02414	
29.75	4.92709	
30	5.64368	
30.25	5.66278	
30.5	5.89133	
30.75	6.41626	
31	6.49292	
31.25	6.9213	
31.5	6.84009	
31.75	6.95432	
32	7.06366	
32.25	6.44061	
32.5	5.90271	
32.75	6.54294	
33	6.0697	
33.25	6.22882	
33.5	6.59616	
33.75	6.29022	
34	6.20267	
34.25	5.97433	
34.5	5.49585	
34.75	5.67114	
35	6.04688	
35.25	5.54559	
35.5	5.52997	
35.75	5.59286	
36	5.61649	
36.25	4.80765	
36.5	4.83902	
36.75	4.63699	
37	4.46857	
37.25	3.88004	
37.5	3.99405	
37.75	3.99405	
38	4.00549	
38.25	3.81577	
38.5	3.81577	
38.75	2.2244	
39	3.78223	
39.25	2.21506	
39.5	2.65833	
39.75	2.52628	
40	2.3797	
40.25	2.14932	
40.5	2.41428	
40.75	2.69714	
41	2.04688	
41.25	2.54248	
41.5	2.66467	
41.75	1.40558	
42	2.50363	
42.25	2.50363	
42.5	1.57196	
42.75	2.8739	
43	1.98392	
43.25	2.65463	
43.5	1.96155	
43.75	3.18207	
44	2.09784	
44.25	3.20392	
44.5	2.67743	
44.75	2.67743	
45	2.72528	
45.25	2.91235	
45.5	3.18356	
45.75	3.08466	
46	2.79306	
46.25	3.86938	
46.5	3.86938	
46.75	2.37958	
47	2.78	
47.25	3.4556	
47.5	3.39746	
47.75	4.20276	
48	2.68323	
48.25	2.31741	
48.5	3.21356	
48.75	4.18442	
49	2.77255	
49.25	2.77255	
49.5	3.38925	
49.75	3.8656	
50	3.79047	
50.25	3.76755	
50.5	2.43222	
50.75	3.52963	
51	3.52963	
51.25	4.18176	
51.5	4.17831	
51.75	3.92487	
52	2.875	
52.25	5.83035	
52.5	2.9823	
52.75	5.69415	
53	2.7179	
53.25	4.14871	
53.5	5.3327	
53.75	6.52335	
54	2.53693	
54.25	0.190369	
54.5	3.81882	
54.75	1.52689	
55	3.82468	
55.25	1.88333	
55.5	1.88333	
55.75	2.06924	
56	3.60925	
56.25	2.30426	
56.5	3.66397	
56.75	3.42413	
57	1.50314	
57.25	1.54059	
57.5	4.23132	
57.75	4.23132	
58	2.16583	
58.25	3.42252	
58.5	3.42252	
58.75	5.93268	
59	4.21231	
59.25	3.01877	
59.5	4.99139	
59.75	2.39633	
60	4.12881	
60.25	4.45624	
60.5	2.10574	
60.75	2.26172	
61	4.49069	
61.25	3.55774	
61.5	3.3317	
61.75	5.32452	
62	0.877563	
62.25	2.73083	
62.5	1.9494	
62.75	4.72852	
63	1.61841	
63.25	5.0264	
63.5	5.0264	
63.75	2.31036	
64	1.18509	
64.25	5.5394	
64.5	4.98325	
64.75	2.87115	
65	5.01938	
65.25	5.01938	
65.5	2.13031	
65.75	5.37555	
66	3.42337	
66.25	3.17181	
66.5	0.99881	
66.75	2.37488	
67	3.46158	
67.25	3.71201	
67.5	3.20145	
67.75	2.88278	
68	2.8613	
68.25	2.19116	
68.5	3.3779	
68.75	3.52948	
69	2.7692	
69.25	2.38501	
69.5	4.14807	
69.75	3.65366	
70	2.79752	
70.25	4.09509	
70.5	2.57837	
70.75	2.62381	
71	1.86368	
71.25	3.5553	
71.5	3.1922	
71.75	2.03308	
72	3.23392	
72.25	2.77719	
72.5	2.28442	
72.75	3.58676	
73	4.06534	
73.25	5.00125	
73.5	3.28201	
73.75	3.07043	
74	3.4975	
74.25	2.9285	
74.5	3.39182	
74.75	2.59711	
75	3.44754	
75.25	3.5126	
75.5	3.30518	
75.75	2.43738	
76	3.43616	
76.25	2.93082	
76.5	3.76132	
76.75	3.32394	
77	3.53915	
77.25	2.81989	
77.5	3.42694	
77.75	3.24033	
78	3.65112	
78.25	2.9198	
78.5	3.52182	
78.75	3.56781	
79	3.32047	
79.25	3.92532	
79.5	3.15759	
79.75	3.40753	
80	2.62051	
80.25	3.98672	
80.5	3.19952	
80.75	4.14142	
81	3.01022	
81.25	2.90308	
81.5	3.35294	
81.75	3.04944	
82	3.91263	
82.25	3.56219	
82.5	2.97656	
82.75	3.0054	
83	3.62698	
83.25	3.30585	
83.5	2.69531	
83.75	3.38605	
84	2.81076	
84.25	3.6897	
84.5	3.56705	
84.75	3.29614	
85	3.58417	
85.25	2.51236	
85.5	2.91132	
85.75	4.01733	
86	2.63684	
86.25	2.91061	
86.5	2.58441	
86.75	2.58441	
87	2.75754	
87.25	3.88879	
87.5	2.74078	
87.75	2.82675	
88	4.22159	
88.25	2.73373	
88.5	3.62173	
88.75	3.74591	
89	3.72757	
89.25	3.02444	
89.5	3.41949	
89.75	3.44427	
90	2.98111	
90.25	3.41916	
90.5	2.95715	
90.75	3.07333	
91	3.35455	
91.25	3.2077	
91.5	3.104	
91.75	3.14542	
92	2.79916	
92.25	2.85489	
92.5	3.13492	
92.75	3.5759	
93	2.94928	
93.25	2.88965	
93.5	3.26276	
93.75	3.75122	
94	2.84851	
94.25	2.45169	
94.5	3.73465	
94.75	3.53973	
95	2.94159	
95.25	3.64413	
95.5	3.80673	
95.75	3.65475	
96	3.77252	
96.25	2.94901	
96.5	3.46893	
96.75	3.35068	
97	3.61353	
97.25	4.01248	
97.5	2.90213	
97.75	3.2131	
98	3.37	
98.25	3.69427	
98.5	3.59149	
98.75	3.78119	
99	3.28183	
99.25	3.21164	
99.5	3.61411	
99.75	3.36945	
100	3.29871	
100.25	3.34265	
100.5	3.31979	
100.75	3.55582	
101	0.49353	
