Frequency - Plot 0	Amplitude - Plot 0	
1	69.6094	
1.25	-13.0957	
1.5	-13.0957	
1.75	-13.0957	
2	-10.2063	
2.25	-10.6128	
2.5	-10.6128	
2.75	-10.6128	
3	-11.3269	
3.25	-11.3269	
3.5	-11.8213	
3.75	-12.2498	
4	-12.7002	
4.25	-12.7002	
4.5	-13.2056	
4.75	-13.7	
5	-13.7329	
5.25	-13.7329	
5.5	-14.1284	
5.75	-14.1284	
6	-14.6228	
6.25	-14.9963	
6.5	-14.9854	
6.75	-14.9854	
7	-15.3918	
7.25	-15.3918	
7.5	-15.8752	
7.75	-17.0398	
8	-17.0398	
8.25	-17.8638	
8.5	-17.8638	
8.75	-18.2263	
9	-18.3252	
9.25	-18.9514	
9.5	-18.9514	
9.75	-19.6545	
10	-21.7859	
10.25	-21.7859	
10.5	-21.7859	
10.75	-23.7305	
11	-23.7305	
11.25	-24.3018	
11.5	-24.3018	
11.75	-24.7302	
12	-25.6421	
12.25	-25.6421	
12.5	-26.7957	
12.75	-27.0593	
13	-27.0483	
13.25	-27.0483	
13.5	-26.7847	
13.75	-26.8286	
14	-27.1692	
14.25	-27.1692	
14.5	-27.0044	
14.75	-27.2131	
15	-27.2131	
15.25	-27.2131	
15.5	-30.531	
15.75	-45.7031	
16	-54.4373	
16.25	-57.085	
16.5	-57.5354	
16.75	-58.667	
17	-58.667	
17.25	-58.4253	
17.5	-58.3923	
17.75	-58.3923	
18	-63.0945	
18.25	-63.9734	
18.5	-63.446	
18.75	-64.3359	
19	-64.3359	
19.25	-65.8521	
19.5	-65.8521	
19.75	-65.9509	
20	-64.7754	
20.25	-66.5771	
20.5	-67.5989	
20.75	-67.5989	
21	-71.0925	
21.25	-71.2244	
21.5	-71.1035	
21.75	-72.312	
22	-72.4878	
22.25	-72.9053	
22.5	-78.4753	
22.75	-82.1338	
23	-82.2107	
23.25	-83.7378	
23.5	-83.1006	
23.75	-89.3738	
24	-91.4062	
24.25	-95.0427	
24.5	-95.0427	
24.75	-100.305	
25	-102.107	
25.25	-104.249	
25.5	-105.238	
25.75	-105.677	
26	-118.85	
26.25	-118.85	
26.5	-129.76	
26.75	-130.144	
27	-130.144	
27.25	-133.594	
27.5	-139.768	
27.75	-143.591	
28	-143.328	
28.25	-142.471	
28.5	-142.57	
28.75	-145.767	
29	-148.096	
29.25	-141.932	
29.5	-136.132	
29.75	-142.064	
30	-137.065	
30.25	-135.582	
30.5	-124.003	
30.75	-124.003	
31	-121.069	
31.25	-121.069	
31.5	-124.299	
31.75	-106.436	
32	-108.468	
32.25	-115.675	
32.5	-118.323	
32.75	-126.068	
33	-123.772	
33.25	-120.685	
33.5	-120.685	
33.75	-127.782	
34	-122.52	
34.25	-116.664	
34.5	-118.356	
34.75	-130.452	
35	-121.168	
35.25	-121.63	
35.5	-121.63	
35.75	-133.418	
36	-108.468	
36.25	-105.348	
36.5	-126.508	
36.75	-118.202	
37	-118.202	
37.25	-136.835	
37.5	-119.949	
37.75	-137.274	
38	-132.539	
38.25	-142.152	
38.5	-130.573	
38.75	-147.623	
39	-149.359	
39.25	-154.072	
39.5	-160.104	
39.75	-162.103	
40	-158.192	
40.25	-176.693	
40.5	-159.401	
40.75	-161.312	
41	-151.6	
41.25	-154.984	
41.5	-176.671	
41.75	-175.309	
42	-140.251	
42.25	-179.253	
42.5	-168.223	
42.75	-173.727	
43	-163.982	
43.25	-163.982	
43.5	-167.289	
43.75	-78.761	
44	-78.761	
44.25	128.364	
44.5	-177.528	
44.75	50.9656	
45	120.256	
45.25	-126.035	
45.5	-119.806	
45.75	14.5459	
46	-41.9019	
46.25	163.301	
46.5	-11.6345	
46.75	-51.5808	
47	-32.2668	
47.25	-28.125	
47.5	-93.6145	
47.75	-61.3147	
48	-5.05371	
48.25	-32.8931	
48.5	-64.7644	
48.75	122.871	
49	-28.4766	
49.25	-126.497	
49.5	-26.6968	
49.75	-49.823	
50	-49.7021	
50.25	-24.5654	
50.5	74.8718	
50.75	127.101	
51	23.7195	
51.25	-21.0168	
51.5	-101.591	
51.75	-143.569	
52	-53.5693	
52.25	5.67993	
52.5	-96.5588	
52.75	-37.8589	
53	100.118	
53.25	-115.906	
53.5	154.424	
53.75	-143.416	
54	-71.1914	
54.25	20.6433	
54.5	24.1809	
54.75	15.8972	
55	38.2434	
55.25	-114.708	
55.5	-29.2346	
55.75	-150.227	
56	20.4456	
56.25	-77.6843	
56.5	37.3865	
56.75	-37.4854	
57	135.352	
57.25	-14.1724	
57.5	-33.3325	
57.75	-18.5559	
58	5.32837	
58.25	-122.388	
58.5	-8.38257	
58.75	-16.886	
59	-49.9768	
59.25	-35.6067	
59.5	127.584	
59.75	124.739	
60	63.7317	
60.25	-38.1775	
60.5	12.041	
60.75	-28.905	
61	-27.9053	
61.25	-3.21899	
61.5	-13.2275	
61.75	-27.7075	
62	-13.0737	
62.25	-16.1499	
62.5	0.12085	
62.75	-10.9863	
63	-33.3325	
63.25	-29.5203	
63.5	-25.3125	
63.75	-8.72314	
64	-12.9639	
64.25	-34.6729	
64.5	-38.7708	
64.75	-49.2847	
65	-42.7698	
65.25	-21.8518	
65.5	-16.5564	
65.75	-86.0339	
66	-116.927	
66.25	-37.1338	
66.5	-66.0718	
66.75	-149.019	
67	-19.4788	
67.25	52.5916	
67.5	9.86572	
67.75	-84.397	
68	-78.1128	
68.25	-43.0225	
68.5	-24.137	
68.75	-72.5647	
69	78.2007	
69.25	175.331	
69.5	-51.2952	
69.75	-12.7002	
70	-88.6926	
70.25	-12.6453	
70.5	-87.0776	
70.75	-13.8428	
71	-38.2874	
71.25	-21.7749	
71.5	-36.2769	
71.75	61.4136	
72	-50.2625	
72.25	-30.6848	
72.5	-7.61353	
72.75	-42.7698	
73	-38.0127	
73.25	-37.5513	
73.5	-34.1235	
73.75	-33.9917	
74	-19.4458	
74.25	-24.1809	
74.5	-36.2878	
74.75	-25.6531	
75	-29.4873	
75.25	-22.9175	
75.5	-30.3882	
75.75	-20.4236	
76	-27.5977	
76.25	-27.5977	
76.5	-33.3875	
76.75	-27.4548	
77	-26.9165	
77.25	-32.0471	
77.5	-33.1128	
77.75	-25.6531	
78	-21.6541	
78.25	-1.03271	
78.5	-7.60254	
78.75	-32.168	
79	-49.2407	
79.25	-41.0889	
79.5	-26.7847	
79.75	-41.8909	
80	-30.8606	
80.25	-16.5344	
80.5	-52.8113	
80.75	-22.3682	
81	-41.825	
81.25	-19.248	
81.5	-27.0374	
81.75	-27.0374	
82	-26.4111	
82.25	-29.696	
82.5	-41.5833	
82.75	-34.3542	
83	-38.7708	
83.25	-35.7495	
83.5	-40.3528	
83.75	-40.3528	
84	-29.74	
84.25	-41.9897	
84.5	-30.2454	
84.75	-22.9724	
85	-42.8687	
85.25	-23.5437	
85.5	-48.5266	
85.75	-26.532	
86	-40.0122	
86.25	-44.8132	
86.5	-45.9998	
86.75	-37.4634	
87	-59.7217	
87.25	-60.249	
87.5	-59.6008	
87.75	-47.5598	
88	-28.2129	
88.25	-30.7178	
88.5	-50.3284	
88.75	-40.8252	
89	-36.0901	
89.25	-37.1448	
89.5	-40.8691	
89.75	-47.8894	
90	-41.0229	
90.25	-39.1003	
90.5	-44.1211	
90.75	-44.8132	
91	-50.6909	
91.25	-47.9333	
91.5	-42.3743	
91.75	-50.658	
92	-44.6265	
92.25	-42.627	
92.5	-40.957	
92.75	-55.0195	
93	-39.353	
93.25	-56.8542	
93.5	-58.689	
93.75	-45.4614	
94	-52.6685	
94.25	-42.594	
94.5	-28.136	
94.75	-48.1421	
95	-42.3193	
95.25	-46.0107	
95.5	-68.2581	
95.75	-59.8425	
96	-62.8198	
96.25	-48.0762	
96.5	-35.0244	
96.75	-59.6887	
97	-38.1555	
97.25	-24.6643	
97.5	-34.7388	
97.75	-43.8574	
98	-32.6294	
98.25	-36.958	
98.5	-39.1443	
98.75	-47.7795	
99	-43.1763	
99.25	-51.2402	
99.5	-43.8904	
99.75	-37.9797	
100	-43.9124	
100.25	-47.8784	
