Frequency - Plot 0	Amplitude - Plot 0	
1	2.67557	
1.25	2.67557	
1.5	3.02441	
1.75	3.02441	
2	3.23718	
2.25	3.23718	
2.5	3.23718	
2.75	3.23718	
3	3.07883	
3.25	2.991	
3.5	2.95505	
3.75	2.95505	
4	3.42978	
4.25	3.88611	
4.5	3.88611	
4.75	4.19009	
5	4.26062	
5.25	4.41504	
5.5	4.41504	
5.75	4.56424	
6	4.56424	
6.25	4.69485	
6.5	4.69485	
6.75	4.88354	
7	4.93707	
7.25	4.94434	
7.5	5.15988	
7.75	5.28445	
8	5.47168	
8.25	5.57858	
8.5	5.55881	
8.75	5.65784	
9	5.72299	
9.25	5.72299	
9.5	5.84885	
9.75	5.88895	
10	5.88895	
10.25	5.95251	
10.5	5.95251	
10.75	6.07538	
11	6.10461	
11.25	6.20987	
11.5	6.33948	
11.75	6.33948	
12	6.25571	
12.25	6.28531	
12.5	6.50415	
12.75	6.50415	
13	6.50415	
13.25	6.50415	
13.5	6.56882	
13.75	6.69476	
14	6.69476	
14.25	6.34891	
14.5	5.58804	
14.75	5.58804	
15	4.72134	
15.25	4.72134	
15.5	4.59039	
15.75	5.3656	
16	5.1203	
16.25	5.02573	
16.5	5.23737	
16.75	5.96432	
17	5.96432	
17.25	5.96844	
17.5	5.59576	
17.75	5.59576	
18	5.52576	
18.25	5.40167	
18.5	5.62704	
18.75	5.62704	
19	5.62704	
19.25	5.72162	
19.5	5.59555	
19.75	5.45126	
20	5.24692	
20.25	4.39444	
20.5	3.97269	
20.75	4.50671	
21	4.68567	
21.25	4.77936	
21.5	4.77936	
21.75	4.56219	
22	4.56219	
22.25	4.67447	
22.5	4.62726	
22.75	4.4884	
23	4.4884	
23.25	3.78528	
23.5	4.16367	
23.75	4.36697	
24	4.33762	
24.25	4.17636	
24.5	4.19745	
24.75	3.44678	
25	3.68115	
25.25	3.63037	
25.5	2.84909	
25.75	3.4838	
26	3.46484	
26.25	3.30081	
26.5	3.29596	
26.75	3.03531	
27	3.03531	
27.25	3.20093	
27.5	3.39728	
27.75	3.0784	
28	2.28986	
28.25	3.33276	
28.5	3.0564	
28.75	2.88763	
29	2.92392	
29.25	3.24619	
29.5	3.45856	
29.75	2.6373	
30	2.02078	
30.25	2.52588	
30.5	2.68774	
30.75	2.93329	
31	2.31854	
31.25	2.26364	
31.5	1.97867	
31.75	1.94016	
32	2.16724	
32.25	2.01016	
32.5	2.04813	
32.75	1.43274	
33	1.43274	
33.25	1.66672	
33.5	1.85074	
33.75	1.48627	
34	1.7334	
34.25	1.66132	
34.5	1.65353	
34.75	2.0145	
35	0.986481	
35.25	1.25732	
35.5	1.15112	
35.75	1.15112	
36	1.42087	
36.25	1.24619	
36.5	0.846313	
36.75	0.848755	
37	0.824677	
37.25	1.30591	
37.5	1.48999	
37.75	1.06348	
38	0.686829	
38.25	0.773682	
38.5	1.14926	
38.75	1.0412	
39	0.429352	
39.25	1.16986	
39.5	1.00473	
39.75	0.649048	
40	0.522827	
40.25	0.667267	
