Frequency - Plot 0	Amplitude - Plot 0	
1	2.32373	
1.25	7.60989	
1.5	7.00293	
1.75	6.57199	
2	6.57199	
2.25	6.57199	
2.5	7.20105	
2.75	7.49982	
3	7.49982	
3.25	7.46957	
3.5	7.62463	
3.75	7.62463	
4	7.62137	
4.25	7.83472	
4.5	7.83472	
4.75	7.88428	
5	7.88428	
5.25	7.8194	
5.5	7.73096	
5.75	7.73096	
6	7.73636	
6.25	7.70172	
6.5	7.62979	
6.75	7.91678	
7	7.91678	
7.25	7.98874	
7.5	8.16751	
7.75	8.48923	
8	8.64838	
8.25	8.77475	
8.5	8.77475	
8.75	8.9545	
9	9.03619	
9.25	9.18884	
9.5	9.4133	
9.75	9.54138	
10	9.54138	
10.25	9.60629	
10.5	9.94992	
10.75	9.91299	
11	9.91299	
11.25	10.3375	
11.5	10.3375	
11.75	10.3765	
12	10.5527	
12.25	10.5527	
12.5	10.6035	
12.75	10.7339	
13	10.7665	
13.25	10.6467	
13.5	10.9633	
13.75	10.6434	
14	10.6434	
14.25	10.7358	
14.5	11.0113	
14.75	11.2921	
15	11.4522	
15.25	11.4193	
15.5	11.2847	
15.75	11.2847	
16	11.2847	
16.25	11.0586	
16.5	10.8008	
16.75	10.6605	
17	10.7457	
17.25	11.2753	
17.5	10.9773	
17.75	10.9595	
18	11.0163	
18.25	10.9088	
18.5	10.7516	
18.75	10.7516	
19	10.3677	
19.25	10.5444	
19.5	11.1711	
19.75	11.1711	
20	11.0443	
20.25	11.0443	
20.5	11.0443	
20.75	11.3574	
21	11.7402	
21.25	11.4181	
21.5	11.0779	
21.75	10.8763	
22	11.1547	
22.25	11.3997	
22.5	11.3997	
22.75	11.1607	
23	10.9716	
23.25	10.343	
23.5	10.343	
23.75	10.115	
24	9.80865	
24.25	10.2706	
24.5	10.5465	
24.75	11.2049	
25	10.8503	
25.25	10.8503	
25.5	10.3618	
25.75	10.0833	
26	10.8672	
26.25	10.8672	
26.5	10.6329	
26.75	9.83395	
27	9.65518	
27.25	9.16931	
27.5	9.58389	
27.75	9.27457	
28	9.27457	
28.25	9.12119	
28.5	8.84232	
28.75	8.17093	
29	8.37329	
29.25	8.72571	
29.5	8.74081	
29.75	7.81516	
30	7.81516	
30.25	8.4678	
30.5	8.55579	
30.75	7.63971	
31	7.49628	
31.25	7.41061	
31.5	8.0394	
31.75	7.2532	
32	7.20065	
32.25	7.01886	
32.5	7.12524	
32.75	7.12524	
33	7.29358	
33.25	7.09515	
33.5	7.09515	
33.75	5.53571	
34	5.79681	
34.25	6.22321	
34.5	6.52429	
34.75	6.52429	
35	5.66364	
35.25	6.19531	
35.5	6.27386	
35.75	6.27386	
36	6.58014	
36.25	6.1582	
36.5	5.74857	
36.75	5.64218	
37	5.88492	
37.25	4.99121	
37.5	5.72025	
37.75	5.82959	
38	5.27591	
38.25	4.95697	
38.5	5.9895	
38.75	5.47327	
39	4.37897	
39.25	5.06546	
39.5	5.06546	
39.75	4.8772	
40	4.44666	
40.25	3.95557	
40.5	3.68802	
40.75	4.11386	
41	4.11386	
41.25	3.68152	
41.5	4.11649	
41.75	3.61194	
42	2.86798	
42.25	2.35236	
42.5	3.01517	
42.75	2.19357	
43	2.19357	
43.25	2.9552	
43.5	2.9552	
43.75	3.53323	
44	3.36859	
44.25	3.36859	
44.5	2.00961	
44.75	2.00961	
45	1.98663	
45.25	2.5661	
45.5	2.5661	
45.75	2.54675	
46	1.32187	
46.25	1.40439	
46.5	1.40439	
46.75	1.40439	
47	3.0473	
47.25	3.0473	
47.5	1.19684	
47.75	2.28738	
48	1.5737	
48.25	2.45837	
48.5	4.09409	
48.75	4.99619	
49	3.0791	
49.25	3.36005	
49.5	1.41278	
49.75	0.875977	
50	1.99875	
50.25	1.99875	
50.5	0.449066	
50.75	0.86554	
51	2.18292	
51.25	1.34122	
51.5	4.17776	
51.75	1.97946	
