Frequency - Plot 0	Amplitude - Plot 0	
1	-1.74683	
1.25	-11.2061	
1.5	-7.31689	
1.75	-7.31689	
2	-7.31689	
2.25	-7.31689	
2.5	-7.83325	
2.75	-7.83325	
3	-8.65723	
3.25	-9.27246	
3.5	-9.27246	
3.75	-9.27246	
4	-9.59106	
4.25	-9.59106	
4.5	-9.9646	
4.75	-9.9646	
5	-10.3821	
5.25	-10.4919	
5.5	-11.0632	
5.75	-11.0632	
6	-11.1072	
6.25	-11.9751	
6.5	-11.6565	
6.75	-12.2278	
7	-12.2058	
7.25	-11.9421	
7.5	-12.2937	
7.75	-13.2715	
8	-13.4583	
8.25	-13.4583	
8.5	-13.5461	
8.75	-13.5461	
9	-13.5461	
9.25	-14.6118	
9.5	-15.1172	
9.75	-15.1172	
10	-15.3809	
10.25	-15.9082	
10.5	-15.9082	
10.75	-15.9521	
11	-16.6992	
11.25	-16.6992	
11.5	-19.3469	
11.75	-17.8418	
12	-18.2373	
12.25	-18.2373	
12.5	-18.2373	
12.75	-19.7754	
13	-19.7754	
13.25	-19.7754	
13.5	-20.127	
13.75	-20.127	
14	-20.8081	
14.25	-21.9067	
14.5	-20.6104	
14.75	-20.6104	
15	-22.9504	
15.25	-25.8289	
15.5	-25.7849	
15.75	-25.7849	
16	-24.7083	
16.25	-25.3894	
16.5	-25.9717	
16.75	-25.1367	
17	-24.939	
17.25	-24.939	
17.5	-27.9492	
17.75	-28.5645	
18	-29.5862	
18.25	-28.6963	
18.5	-28.3557	
18.75	-28.7512	
19	-28.7512	
19.25	-26.9275	
19.5	-28.3667	
19.75	-29.9927	
20	-29.9927	
20.25	-31.9702	
20.5	-31.2891	
20.75	-31.1023	
21	-31.0474	
21.25	-31.0474	
21.5	-31.4319	
21.75	-33.4973	
22	-34.2334	
22.25	-35.1343	
22.5	-35.1343	
22.75	-35.5847	
23	-39.408	
23.25	-55.2832	
23.5	-64.9512	
23.75	-64.3579	
24	-64.4128	
24.25	-64.4128	
24.5	-66.2476	
24.75	-66.5662	
25	-68.4888	
25.25	-68.4888	
25.5	-69.4006	
25.75	-70.7959	
26	-69.5215	
26.25	-69.5215	
26.5	-71.0486	
26.75	-74.4763	
27	-77.3877	
27.25	-77.3877	
27.5	-86.5173	
27.75	-87.9785	
28	-87.9785	
28.25	-91.615	
28.5	-92.6367	
28.75	-97.4487	
29	-98.3936	
29.25	-97.8333	
29.5	-97.8333	
29.75	-102.228	
30	-107.556	
30.25	-107.996	
30.5	-114.016	
30.75	-114.016	
31	-115.488	
31.25	-132.177	
31.5	-132.177	
31.75	-124.014	
32	-130.627	
32.25	-134.055	
32.5	-131.1	
32.75	-133.901	
33	-131.869	
33.25	-128.958	
33.5	-125.079	
33.75	-129.221	
34	-123.959	
34.25	-130.078	
34.5	-128.606	
34.75	-121.63	
35	-129.441	
35.25	-127.529	
35.5	-132.374	
35.75	-132.99	
36	-124.486	
36.25	-136.582	
36.5	-129.254	
36.75	-143.8	
37	-141.295	
37.25	-135.472	
37.5	-132.396	
37.75	-136.494	
38	-129.111	
38.25	-132.341	
38.5	-140.383	
38.75	-128.76	
39	-147.118	
39.25	-142.635	
39.5	-146.36	
39.75	-152.831	
40	-144.745	
40.25	-149.59	
40.5	-136.78	
40.75	-142.13	
41	-140.087	
41.25	-148.7	
41.5	-146.338	
41.75	-136.659	
42	-148.107	
42.25	-152.073	
42.5	-166.707	
42.75	-142.24	
43	-152.985	
43.25	-152.985	
43.5	-130.144	
43.75	-173.057	
44	-120.619	
44.25	-148.359	
44.5	-146.876	
44.75	-154.149	
45	-154.149	
45.25	-142.679	
45.5	-132.968	
45.75	-148.008	
46	-149.919	
46.25	-136.472	
46.5	-149.073	
46.75	-139.219	
47	-144.976	
47.25	-137.966	
47.5	-129.419	
47.75	178.835	
48	-129.562	
48.25	175.792	
48.5	-141.174	
48.75	-129.792	
49	178.978	
49.25	178.978	
49.5	-76.5527	
49.75	-152.062	
50	107.391	
50.25	-91.615	
50.5	-116.851	
50.75	163.433	
51	126.541	
51.25	-177.891	
51.5	-155.632	
51.75	132.122	
52	-159.774	
52.25	171.672	
52.5	171.672	
52.75	-155.72	
53	-124.146	
53.25	149.974	
53.5	143.536	
53.75	120.948	
54	-158.478	
54.25	-136.516	
54.5	-21.8298	
54.75	177.231	
55	139.68	
55.25	86.5833	
55.5	86.5833	
55.75	-152.644	
56	-89.6924	
56.25	78.1128	
56.5	-158.126	
56.75	-134.692	
57	14.9084	
57.25	179.363	
57.5	121.157	
57.75	-111.885	
58	-54.0967	
58.25	-58.5352	
58.5	-148.326	
58.75	141.141	
59	96.9104	
59.25	158.192	
59.5	-101.777	
59.75	-15.0952	
60	-95.5701	
60.25	-19.4348	
60.5	-41.1328	
60.75	16.062	
61	3.81226	
61.25	-97.1082	
61.5	-29.3445	
61.75	-27.9053	
62	-74.6851	
62.25	10.2722	
62.5	-32.6953	
62.75	-14.7437	
63	-47.7795	
63.25	-52.3169	
63.5	5.16357	
63.75	67.8406	
64	-24.2468	
64.25	-50.3833	
64.5	-7.32788	
64.75	8.37158	
65	-61.9629	
65.25	-31.1572	
65.5	-30.9595	
65.75	-8.32764	
66	-30.8386	
66.25	-34.3762	
66.5	-27.1143	
66.75	-32.179	
67	-1.68091	
67.25	-13.1616	
67.5	-5.02075	
67.75	-7.51465	
68	-46.3074	
68.25	141.888	
68.5	78.5193	
68.75	-23.7854	
69	-31.322	
69.25	-30.4102	
69.5	-14.1284	
69.75	-28.136	
