Frequency - Plot 0	Amplitude - Plot 0	
1	2.04346	
1.25	2.04346	
1.5	-47.5049	
1.75	-47.5049	
2	-47.8015	
2.25	-47.8015	
2.5	-47.8015	
2.75	-47.8015	
3	-48.2849	
3.25	-49.2407	
3.5	-51.5918	
3.75	-51.5918	
4	-51.0535	
4.25	-50.2515	
4.5	-50.2515	
4.75	-51.2512	
5	-52.3169	
5.25	-52.3499	
5.5	-52.3499	
5.75	-52.4158	
6	-52.4158	
6.25	-53.6902	
6.5	-53.6902	
6.75	-55.1953	
7	-55.8875	
7.25	-55.7336	
7.5	-57.3706	
7.75	-58.1177	
8	-59.1174	
8.25	-59.6448	
8.5	-60.9521	
8.75	-61.3477	
9	-61.842	
9.25	-61.842	
9.5	-63.1274	
9.75	-64.1272	
10	-64.1272	
10.25	-66.665	
10.5	-66.665	
10.75	-67.3242	
11	-69.1919	
11.25	-69.4666	
11.5	-69.3567	
11.75	-69.3567	
12	-69.5544	
12.25	-71.2354	
12.5	-70.2576	
12.75	-70.2576	
13	-70.2576	
13.25	-71.3892	
13.5	-71.3892	
13.75	-73.6523	
14	-73.6523	
14.25	-77.926	
14.5	-78.4094	
14.75	-78.4094	
15	-84.7375	
15.25	-84.7375	
15.5	-88.0115	
15.75	-84.7925	
16	-86.0669	
16.25	-85.946	
16.5	-87.0117	
16.75	-84.0894	
17	-84.0894	
17.25	-84.2651	
17.5	-88.3081	
17.75	-88.3081	
18	-89.3079	
18.25	-91.0217	
18.5	-91.8127	
18.75	-91.8127	
19	-91.8127	
19.25	-93.9001	
19.5	-93.8232	
19.75	-92.7356	
20	-92.2852	
20.25	-91.4172	
20.5	-90.4065	
20.75	-92.7136	
21	-94.5374	
21.25	-94.0759	
21.5	-94.0759	
21.75	-97.5916	
22	-97.5916	
22.25	-101.766	
22.5	-96.4709	
22.75	-89.4727	
23	-89.4727	
23.25	-96.7896	
23.5	-101.92	
23.75	-102.81	
24	-101.887	
24.25	-99.8437	
24.5	-95.4822	
24.75	-104.744	
25	-104.019	
25.25	-101.997	
25.5	-106.699	
25.75	-108.446	
26	-98.9539	
26.25	-96.8005	
26.5	-102.491	
26.75	-104.678	
27	-104.678	
27.25	-109.292	
27.5	-109.578	
27.75	-104.37	
28	-97.7344	
28.25	-111.248	
28.5	-110.632	
28.75	-95.9106	
29	-114.829	
29.25	-115.829	
29.5	-107.677	
29.75	-102.557	
30	-112.39	
30.25	-114.521	
30.5	-124.64	
30.75	-109.731	
31	-114.357	
31.25	-113.851	
31.5	-114.445	
31.75	-132.638	
32	-116.971	
32.25	-119.564	
32.5	-114.181	
32.75	-124.321	
33	-124.321	
33.25	-125.09	
33.5	-95.1306	
33.75	-136.307	
34	-126.409	
34.25	-121.937	
34.5	-146.173	
34.75	-106.172	
35	-97.4597	
35.25	-134.813	
35.5	-123.08	
35.75	-123.08	
36	-126.101	
36.25	-151.117	
36.5	-78.0688	
36.75	-122.651	
37	-137.889	
37.25	-89.989	
37.5	-114.027	
37.75	-82.76	
38	-152.095	
38.25	-137.318	
38.5	-137.384	
38.75	-151.315	
39	-89.6484	
39.25	-144.877	
39.5	-93.6145	
39.75	-118.026	
40	-111.302	
40.25	-33.2007	
40.5	-136.846	
40.75	-156.434	
41	-111.27	
41.25	-131.726	
41.5	-117.092	
41.75	54.4592	
42	-148.832	
42.25	-138.494	
42.5	-138.494	
42.75	-144.525	
43	-116.071	
43.25	-72.5317	
43.5	78.7939	
43.75	144.855	
44	-101.481	
44.25	-39.3091	
44.5	-128.287	
44.75	-55.3821	
45	-159.181	
45.25	-109.259	
45.5	-134.967	
45.75	62.7539	
46	-149.194	
46.25	163.07	
46.5	-146.865	
46.75	-16.6113	
47	-126.727	
47.25	-41.1328	
47.5	-30.2234	
47.75	-151.93	
48	43.2971	
48.25	-123.223	
48.5	110.962	
48.75	60.238	
49	-94.0869	
49.25	-160.488	
49.5	99.8767	
49.75	-178.396	
50	-66.1707	
50.25	74.8059	
50.5	-143.954	
50.75	136.736	
51	-39.1113	
51.25	139.076	
51.5	148.942	
51.75	-166.223	
52	-134.879	
52.25	-14.1284	
52.5	-107.831	
52.75	160.236	
53	24.8621	
53.25	85.1221	
53.5	169.497	
53.75	130.001	
54	50.4492	
54.25	141.855	
54.5	-106.633	
54.75	-6.29517	
55	-90.1758	
55.25	54.1296	
55.5	-49.1748	
55.75	-155.006	
56	37.0679	
56.25	32.4756	
56.5	-122.234	
56.75	-53.1958	
57	-142.471	
57.25	14.1943	
57.5	96.5369	
57.75	99.0747	
58	130.594	
58.25	13.8208	
58.5	59.2822	
58.75	55.2612	
59	55.2612	
59.25	30.0256	
59.5	-95.3943	
59.75	88.1104	
60	-118.762	
60.25	6.5918	
60.5	98.7561	
60.75	16.9299	
61	-113.939	
61.25	-113.939	
61.5	-168.201	
61.75	12.4255	
62	12.4255	
62.25	-6.3501	
62.5	-6.3501	
62.75	132.001	
63	8.08594	
63.25	-171.277	
63.5	-13.9746	
63.75	-160.269	
64	85.9021	
64.25	65.3796	
64.5	156.127	
64.75	151.732	
65	52.3938	
65.25	156.83	
65.5	-93.8782	
65.75	51.1523	
66	81.2659	
66.25	-1.37329	
66.5	69.3457	
66.75	72.9053	
67	72.9053	
67.25	66.7639	
67.5	-15.7214	
67.75	17.644	
68	-130.133	
68.25	-178.033	
68.5	26.3123	
68.75	-68.6536	
69	44.6375	
69.25	-19.4019	
69.5	9.74487	
69.75	-30.1465	
70	57.7441	
70.25	36.936	
70.5	48.3728	
70.75	75.6299	
71	-25.1697	
71.25	42.1875	
71.5	-1.97754	
71.75	15.9851	
72	65.8081	
72.25	-5.64697	
72.5	89.7034	
72.75	34.9475	
73	58.1287	
73.25	21.8518	
73.5	21.1597	
73.75	10.4919	
74	4.72412	
74.25	55.1184	
74.5	104.974	
74.75	24.3237	
75	39.5947	
75.25	17.5232	
75.5	36.5735	
75.75	-14.6118	
76	0.703125	
76.25	24.6973	
76.5	20.6104	
76.75	22.533	
77	55.3821	
77.25	3.22998	
77.5	33.4314	
77.75	47.6367	
78	30.52	
78.25	35.7056	
78.5	35.7056	
78.75	62.5232	
79	39.5947	
79.25	50.5042	
79.5	37.8809	
79.75	35.2661	
80	20.2039	
80.25	51.3611	
80.5	25.4333	
80.75	-8.28369	
81	-13.9746	
81.25	-1.23047	
81.5	28.5425	
81.75	-8.86597	
82	8.53638	
82.25	2.02148	
82.5	6.38306	
82.75	5.59204	
83	18.7866	
83.25	9.4043	
83.5	21.9617	
83.75	-5.87769	
84	-35.8704	
84.25	42.1545	
84.5	-27.4219	
84.75	-11.25	
85	-6.73462	
85.25	-85.3748	
85.5	11.3708	
85.75	13.1946	
86	90.6372	
86.25	-51.6357	
86.5	-15.7764	
86.75	-26.1584	
87	6.14136	
87.25	-2.14233	
87.5	-2.14233	
87.75	-76.4539	
88	18.3582	
88.25	35.4199	
88.5	-45.2087	
88.75	34.9695	
89	2.10938	
89.25	11.5356	
89.5	23.0054	
89.75	18.1165	
90	-21.9946	
90.25	20.0391	
90.5	-3.17505	
90.75	18.1165	
91	-5.71289	
91.25	29.5642	
91.5	-5.99854	
91.75	-7.86621	
92	13.5132	
92.25	7.70142	
92.5	2.83447	
92.75	-25.8728	
93	-10.5029	
93.25	67.522	
93.5	46.5271	
93.75	6.61377	
94	-25.4553	
94.25	1.23047	
94.5	-15.238	
94.75	19.248	
95	17.9736	
95.25	-4.35059	
95.5	-38.7158	
95.75	-1.47217	
96	39.5728	
96.25	-38.3862	
96.5	34.8816	
96.75	1.25244	
97	45.9668	
97.25	22.6318	
97.5	-10.415	
97.75	-1.16455	
98	40.946	
98.25	29.8389	
98.5	21.2146	
98.75	-2.59277	
99	-3.72437	
99.25	25.6641	
99.5	7.82227	
99.75	-5.36133	
100	16.842	
100.25	1.79077	
100.5	7.74536	
100.75	8.25073	
101	75.9595	
