Frequency - Plot 0	Amplitude - Plot 0	
1	-3.14209	
1.25	-30.0586	
1.5	-30.0586	
1.75	-23.6096	
2	-5.07568	
2.25	-5.07568	
2.5	-6.73462	
2.75	-6.73462	
3	-22.1375	
3.25	-12.6892	
3.5	-12.6892	
3.75	-16.2268	
4	-28.3447	
4.25	-10.0195	
4.5	-25.7959	
4.75	-25.7959	
5	-14.5459	
5.25	-14.5459	
5.5	-26.9714	
5.75	-31.2891	
6	-31.2891	
6.25	-23.7854	
6.5	-8.42651	
6.75	-11.7334	
7	-11.7334	
7.25	-6.31714	
7.5	-6.05347	
7.75	-15.8862	
8	-15.8862	
8.25	-2.13135	
8.5	-2.13135	
8.75	0.791016	
9	8.72314	
9.25	8.72314	
9.5	-3.55957	
9.75	13.7219	
10	13.9636	
10.25	29.696	
10.5	20.1819	
10.75	-0.0439453	
11	36.9141	
11.25	94.812	
11.5	-170.266	
11.75	1.91162	
12	-26.0486	
12.25	-48.197	
12.5	-48.197	
12.75	-31.4978	
13	-7.30591	
13.25	-7.30591	
13.5	9.93164	
13.75	9.93164	
14	23.0383	
14.25	19.259	
14.5	19.259	
14.75	61.1829	
15	71.0815	
15.25	171.464	
15.5	-83.6938	
15.75	-54.4373	
16	-31.1572	
16.25	-31.1572	
16.5	29.3115	
16.75	74.0588	
17	-126.277	
17.25	-89.6045	
17.5	-5.7019	
17.75	-7.88818	
18	-7.88818	
18.25	18.0066	
18.5	22.7197	
18.75	41.792	
19	62.4133	
19.25	-129.705	
19.5	-129.705	
19.75	-86.2427	
20	-0.131836	
20.25	-33.1458	
20.5	-30.509	
20.75	1.06567	
21	10.3271	
21.25	-28.905	
21.5	113.566	
21.75	162.993	
22	162.993	
22.25	-47.0544	
22.5	11.1292	
22.75	99.8987	
23	-100.415	
23.25	-25.4553	
23.5	-25.4553	
23.75	-28.9819	
24	-28.9819	
24.25	-52.1851	
24.5	-9.27246	
24.75	28.2349	
25	8.27271	
25.25	8.27271	
25.5	30.6079	
25.75	-157.192	
26	-36.5515	
26.25	-7.25098	
26.5	15.5676	
26.75	137.505	
27	137.505	
27.25	-22.7856	
27.5	-138.593	
27.75	-56.1951	
28	-32.6404	
28.25	29.0369	
28.5	29.0369	
28.75	63.3691	
29	-146.008	
29.25	-113.708	
29.5	-39.1663	
29.75	72.345	
30	153.062	
30.25	-2.76855	
30.5	-124.64	
30.75	-124.64	
31	-34.8486	
31.25	-30.2783	
31.5	42.5391	
31.75	-145.272	
32	-37.4194	
32.25	-61.6443	
32.5	45.3735	
32.75	118.608	
33	-113.698	
33.25	33.8928	
33.5	28.0481	
33.75	134.44	
34	23.3459	
34.25	-11.5576	
34.5	63.446	
34.75	2.99927	
35	128.112	
35.25	-87.0557	
35.5	-8.31665	
35.75	24.3347	
36	-96.7676	
36.25	-96.7676	
36.5	4.48242	
36.75	4.48242	
37	-33.0359	
37.25	-33.0359	
37.5	146.547	
37.75	-28.3557	
38	-152.875	
38.25	24.3677	
38.5	90.4944	
38.75	-8.88794	
39	-8.88794	
39.25	-85.2649	
39.5	-21.6211	
39.75	59.2493	
40	-25.2466	
40.25	43.5498	
40.5	43.5498	
40.75	170.607	
41	-56.3159	
41.25	35.9912	
41.5	110.797	
41.75	-25.708	
42	-92.8455	
42.25	-130.836	
42.5	-130.836	
42.75	-81.4746	
43	-154.413	
43.25	-64.5337	
43.5	112.654	
43.75	-51.9214	
44	2.19727	
44.25	93.5815	
44.5	135.714	
44.75	-61.2708	
45	165.366	
45.25	-161.949	
45.5	171.694	
45.75	-111.456	
46	121.421	
46.25	71.1914	
46.5	39.1443	
46.75	-56.8542	
47	-50.8008	
47.25	151.963	
47.5	-2.70264	
47.75	-86.0779	
48	-41.001	
48.25	-7.43774	
48.5	-7.43774	
48.75	-23.269	
49	-27.301	
49.25	-27.301	
49.5	100.009	
49.75	-130.397	
50	167.432	
50.25	-68.335	
50.5	134.022	
50.75	72.4878	
51	-77.9919	
51.25	-55.9424	
51.5	34.7827	
51.75	-48.8232	
52	-42.1655	
52.25	166.904	
52.5	-54.9536	
52.75	116.587	
53	89.6155	
53.25	16.1499	
53.5	-103.184	
53.75	-116.049	
54	129.551	
54.25	40.0012	
54.5	-43.7476	
54.75	152.106	
55	80.1013	
55.25	128.936	
