Frequency - Plot 0	Amplitude - Plot 0	
1	-27.6746	
1.25	-27.6746	
1.5	-27.6746	
1.75	-31.0803	
2	-31.0803	
2.25	-31.7834	
2.5	-31.7834	
2.75	-32.8052	
3	-32.8052	
3.25	-34.4421	
3.5	-35.2002	
3.75	-35.7605	
4	-35.7605	
4.25	-35.7605	
4.5	-35.7605	
4.75	-35.8704	
5	-36.0681	
5.25	-36.5405	
5.5	-37.3865	
5.75	-37.3865	
6	-38.6499	
6.25	-38.6499	
6.5	-38.8586	
6.75	-39.0564	
7	-39.0564	
7.25	-39.6826	
7.5	-39.6826	
7.75	-40.6165	
8	-41.1108	
8.25	-41.759	
8.5	-42.1545	
8.75	-42.1545	
9	-42.8137	
9.25	-43.9783	
9.5	-44.0881	
9.75	-44.6484	
10	-44.6484	
10.25	-45.1318	
10.5	-45.1318	
10.75	-46.8457	
11	-46.7798	
11.25	-47.3291	
11.5	-46.582	
11.75	-47.1643	
12	-48.8562	
12.25	-49.9329	
12.5	-50.8777	
12.75	-52.5476	
13	-53.1409	
13.25	-52.8223	
13.5	-53.6902	
13.75	-54.657	
14	-54.657	
14.25	-55.3931	
14.5	-55.459	
14.75	-55.459	
15	-55.459	
15.25	-56.7883	
15.5	-56.7883	
15.75	-57.4365	
16	-60.3369	
16.25	-60.3369	
16.5	-62.3474	
16.75	-61.7981	
17	-61.6443	
17.25	-60.1721	
17.5	-60.1721	
17.75	-60.1721	
18	-63.2922	
18.25	-66.2585	
18.5	-65.3796	
18.75	-66.8518	
19	-67.7856	
19.25	-67.1594	
19.5	-65.2917	
19.75	-71.4111	
20	-71.1365	
20.25	-70.8618	
20.5	-72.8723	
20.75	-72.1033	
21	-73.1689	
21.25	-73.3557	
21.5	-74.8938	
21.75	-74.8938	
22	-77.3547	
22.25	-77.3547	
22.5	-84.1553	
22.75	-84.1553	
23	-84.1553	
23.25	-84.1553	
23.5	-91.4722	
23.75	-93.3728	
24	-93.3728	
24.25	-99.7119	
