Frequency - Plot 0	Amplitude - Plot 0	
1	4.25333	
1.25	8.36682	
1.5	8.36682	
1.75	8.23117	
2	8.23117	
2.25	8.48264	
2.5	8.7005	
2.75	8.7005	
3	8.90555	
3.25	8.90555	
3.5	8.90555	
3.75	8.88998	
4	8.88998	
4.25	8.68939	
4.5	8.68939	
4.75	8.42297	
5	8.15186	
5.25	8.15186	
5.5	8.01367	
5.75	8.01367	
6	7.97592	
6.25	8.31839	
6.5	8.43555	
6.75	9.21158	
7	9.49405	
7.25	9.49405	
7.5	9.98688	
7.75	9.98688	
8	10.3714	
8.25	10.5228	
8.5	10.8966	
8.75	11.1476	
9	11.1476	
9.25	11.1476	
9.5	11.2831	
9.75	11.4774	
10	11.4774	
10.25	11.5121	
10.5	11.5121	
10.75	11.5121	
11	11.4991	
11.25	11.4325	
11.5	11.4758	
11.75	11.6469	
12	11.8011	
12.25	11.8011	
12.5	11.8011	
12.75	11.8127	
13	11.8676	
13.25	11.8676	
13.5	11.8676	
13.75	11.8595	
14	11.8595	
14.25	11.684	
14.5	11.684	
14.75	11.7013	
15	11.2527	
15.25	11.2527	
15.5	11.1718	
15.75	11.4666	
16	11.5967	
16.25	11.7408	
16.5	11.8246	
16.75	11.9092	
17	11.9446	
17.25	11.9446	
17.5	12.2256	
17.75	12.6128	
18	12.3741	
18.25	12.3663	
18.5	12.6749	
18.75	12.6749	
19	12.6852	
19.25	12.6852	
19.5	11.4059	
19.75	11.4059	
20	10.8885	
20.25	10.6767	
20.5	10.3521	
20.75	10.0909	
21	9.86688	
21.25	10.016	
21.5	10.0301	
21.75	9.96271	
22	9.754	
22.25	9.35855	
22.5	8.90479	
22.75	8.47464	
23	8.83734	
23.25	8.67892	
23.5	8.4223	
23.75	8.67667	
24	8.52255	
24.25	8.23077	
24.5	7.95731	
24.75	8.05389	
25	7.95761	
25.25	7.90686	
25.5	8.64917	
25.75	7.81766	
26	8.14648	
26.25	8.14648	
26.5	7.78967	
26.75	7.77017	
27	7.88947	
27.25	7.88049	
27.5	7.88049	
27.75	7.09396	
28	6.7948	
28.25	6.74692	
28.5	6.59045	
28.75	6.53745	
29	6.44693	
29.25	6.23227	
29.5	6.21573	
29.75	5.82327	
30	5.95343	
30.25	5.95343	
30.5	5.83194	
30.75	5.83194	
31	5.57019	
31.25	5.03793	
31.5	4.23492	
31.75	4.53058	
32	4.48468	
32.25	4.38986	
32.5	4.38986	
32.75	3.98425	
33	4.50784	
33.25	4.36337	
33.5	4.74088	
33.75	4.66473	
34	4.25119	
34.25	4.43088	
34.5	4.84482	
34.75	4.60437	
35	4.64917	
35.25	4.60519	
35.5	4.19077	
35.75	4.54172	
36	3.07736	
36.25	4.25043	
36.5	3.85519	
36.75	3.98654	
37	4.02286	
37.25	3.17905	
37.5	4.54944	
37.75	3.77621	
38	3.83051	
38.25	3.92993	
38.5	4.47604	
38.75	3.24176	
39	3.87311	
39.25	3.19556	
39.5	3.24344	
39.75	3.46985	
40	3.15988	
40.25	3.4884	
40.5	3.62811	
40.75	2.85651	
