Frequency - Plot 0	Amplitude - Plot 0	
1	2.72058	
1.25	9.92203	
1.5	9.87442	
1.75	9.87442	
2	9.87442	
2.25	9.88644	
2.5	9.88644	
2.75	9.88644	
3	9.99802	
3.25	10.1048	
3.5	10.1048	
3.75	10.1456	
4	10.1456	
4.25	10.1452	
4.5	10.1452	
4.75	10.1357	
5	10.1357	
5.25	10.1617	
5.5	10.1705	
5.75	10.2408	
6	10.0573	
6.25	10.1217	
6.5	10.1217	
6.75	10.1118	
7	10.2267	
7.25	10.2267	
7.5	10.1154	
7.75	10.1818	
8	10.1162	
8.25	10.1938	
8.5	10.1459	
8.75	10.3011	
9	10.3291	
9.25	10.3882	
9.5	10.3914	
9.75	10.3914	
10	10.335	
10.25	10.275	
10.5	10.3382	
10.75	10.368	
11	10.6303	
11.25	10.6719	
11.5	10.6719	
11.75	10.5803	
12	10.5519	
12.25	10.5056	
12.5	10.5056	
12.75	10.3609	
13	10.0613	
13.25	10.2595	
13.5	10.3422	
13.75	10.5164	
14	10.5164	
14.25	10.7013	
14.5	10.7887	
14.75	10.9428	
15	10.8694	
15.25	10.8461	
15.5	10.6276	
15.75	10.3942	
16	10.5368	
16.25	10.8672	
16.5	11.1409	
16.75	11.4306	
17	10.8095	
17.25	10.8095	
17.5	10.8095	
17.75	10.3654	
18	10.3654	
18.25	10.3654	
18.5	10.4899	
18.75	10.3307	
19	10.0575	
19.25	10.7863	
19.5	10.4428	
19.75	10.4428	
20	10.3015	
20.25	10.1136	
20.5	9.94473	
20.75	9.49985	
21	9.49985	
21.25	8.38278	
21.5	8.27939	
21.75	8.27939	
22	7.85464	
22.25	7.5585	
22.5	7.5585	
22.75	7.57153	
23	6.47653	
23.25	6.47653	
23.5	5.52917	
23.75	5.64636	
24	5.69812	
24.25	5.50485	
24.5	5.33524	
24.75	4.91302	
25	4.51218	
25.25	4.01419	
25.5	7.88306	
25.75	9.52307	
26	9.96252	
26.25	9.4736	
26.5	7.93283	
26.75	8.42255	
27	8.42255	
27.25	6.93521	
27.5	6.68558	
27.75	6.18219	
28	6.30191	
28.25	5.98184	
28.5	5.64249	
28.75	5.69171	
29	5.69171	
29.25	5.40826	
29.5	5.40826	
29.75	4.63229	
30	4.63229	
30.25	4.54285	
30.5	4.85474	
30.75	3.84195	
31	3.97437	
31.25	4.04916	
31.5	3.83276	
31.75	4.19785	
32	4.1351	
32.25	3.81299	
32.5	3.38568	
32.75	4.17752	
33	4.15347	
33.25	3.82446	
33.5	3.65158	
33.75	3.69208	
34	3.69208	
34.25	3.2565	
34.5	2.73172	
34.75	2.73172	
35	3.6709	
35.25	3.19479	
35.5	3.58658	
35.75	5.18982	
36	4.43408	
36.25	5.64005	
36.5	5.49634	
36.75	5.49634	
37	5.11548	
37.25	5.77206	
37.5	5.59589	
37.75	4.64355	
38	5.46384	
38.25	4.91187	
38.5	4.54779	
38.75	5.30014	
39	3.43314	
39.25	4.86261	
39.5	4.33047	
39.75	4.40128	
40	4.38364	
40.25	4.49155	
40.5	5.5293	
40.75	5.5293	
41	4.11108	
41.25	4.11108	
41.5	3.36984	
41.75	3.36984	
42	3.13141	
42.25	6.77585	
42.5	3.41583	
42.75	5.70831	
43	2.55722	
43.25	4.67484	
43.5	3.01791	
43.75	4.7092	
44	4.7092	
