Frequency - Plot 0	Amplitude - Plot 0	
1	2.81143	
1.25	0.202606	
1.5	0.202606	
1.75	0.222687	
2	0.187164	
2.25	0.187164	
2.5	0.204773	
2.75	0.204773	
3	0.167999	
3.25	0.171021	
3.5	0.171021	
3.75	0.209351	
4	0.18689	
4.25	0.161713	
4.5	0.201965	
4.75	0.201965	
5	0.179718	
5.25	0.179718	
5.5	0.217224	
5.75	0.288239	
6	0.288239	
6.25	0.232025	
6.5	0.156067	
6.75	0.326569	
7	0.326569	
7.25	0.225891	
7.5	0.359863	
7.75	0.224396	
8	0.224396	
8.25	0.192596	
8.5	0.192596	
8.75	0.20813	
9	0.213104	
9.25	0.213104	
9.5	0.200562	
9.75	0.201935	
10	0.18103	
10.25	0.189636	
10.5	0.172302	
10.75	0.142578	
11	0.144958	
11.25	0.0623474	
11.5	0.0876465	
11.75	0.162292	
12	0.176117	
12.25	0.317413	
12.5	0.317413	
12.75	0.310272	
13	0.303894	
13.25	0.303894	
13.5	0.201324	
13.75	0.201324	
14	0.217804	
14.25	0.189911	
14.5	0.189911	
14.75	0.288574	
15	0.137909	
15.25	0.111267	
15.5	0.222504	
15.75	0.225464	
16	0.359436	
16.25	0.359436	
16.5	0.339752	
16.75	0.286743	
17	0.182068	
17.25	0.358307	
17.5	0.227448	
17.75	0.201508	
18	0.201508	
18.25	0.525574	
18.5	0.20462	
18.75	0.169525	
19	0.241364	
19.25	0.294403	
19.5	0.294403	
19.75	0.343933	
20	0.191498	
20.25	0.265839	
20.5	0.465973	
20.75	0.339203	
21	0.317535	
21.25	0.14032	
21.5	0.19751	
21.75	0.227142	
22	0.227142	
22.25	0.672455	
22.5	0.460693	
22.75	0.470612	
23	0.142761	
23.25	0.190338	
23.5	0.190338	
23.75	0.132812	
24	0.132812	
24.25	0.410217	
24.5	0.317719	
24.75	0.39798	
25	0.0632019	
25.25	0.0632019	
25.5	0.156891	
25.75	0.324585	
26	0.297729	
26.25	0.181732	
26.5	0.483215	
26.75	0.156281	
27	0.156281	
27.25	0.0484314	
27.5	0.385681	
27.75	0.257721	
28	0.583893	
28.25	0.520569	
28.5	0.520569	
28.75	0.252594	
29	0.362274	
29.25	0.188141	
29.5	0.701965	
29.75	0.622162	
